,Partido,Estado,NOME
0,DEM,Acre,ALAN RICK
1,SD,Acre,DRA. VANDA MILANI
2,MDB,Acre,FLAVIANO MELO
3,MDB,Acre,JESSICA SALES
4,PDT,Acre,JESUS SERGIO
5,PSDB,Acre,MARA ROCHA
6,PRB,Acre,PASTOR MANUEL MARCOS
7,PC do B,Acre,PERPETUA ALMEIDA
8,PP,Alagoas,ARTHUR LIRA
9,MDB,Alagoas,ISNALDO BULHOES
10,PSB,Alagoas,JHC
11,PSD,Alagoas,MARX BELTRAO
12,PTB,Alagoas,NIVALDO ALBUQUERQUE
13,PT,Alagoas,PAULAO
14,PR,Alagoas,SERGIO TOLEDO
15,PRB,Alagoas,SEVERINO PESSOA
16,PSDB,Alagoas,TEREZA NELMA
17,PROS,Amapá,ACACIO FAVACHO
18,PRB,Amapá,ALINE GURGEL
19,PP,Amapá,ANDRE ABDON
20,PSB,Amapá,CAMILO CAPIBERIBE
21,AVANTE,Amapá,LEDA SADALA
22,PSDB,Amapá,LUIZ CARLOS
23,PC do B,Amapá,PROFESSORA MARCIVANIA
24,PR,Amapá,VINICIUS
25,PP,Amazonas,ATILA LINS
26,SD,Amazonas,BOSCO SARAIVA
27,PRB,Amazonas,CAPITAO ALBERTO NETO
28,PSL,Amazonas,DELEGADO PABLO
29,PT,Amazonas,JOSE RICARDO
30,PR,Amazonas,MARCELO RAMOS
31,PSD,Amazonas,SIDNEY LEITE
32,PRB,Amazonas,SILAS CAMARA
33,PSDB,Bahia,ADOLFO VIANA
34,PT,Bahia,AFONSO FLORENCE
35,PDT,Bahia,ALEX SANTANA
36,PC do B,Bahia,ALICE PORTUGAL
37,PSD,Bahia,ANTONIO BRITO
38,DEM,Bahia,ARTHUR MAIA
39,PODE,Bahia,BACELAR
40,PP,Bahia,CACA LEAO
41,PSD,Bahia,CHARLES FERNANDES
42,PP,Bahia,CLAUDIO CAJADO
43,PC do B,Bahia,DANIEL ALMEIDA
44,DEM,Bahia,ELMAR
45,PDT,Bahia,FELIX MENDONCA
46,PHS,Bahia,IGOR KANNARIO
47,PR,Bahia,JOAO BACELAR
48,PRB,Bahia,JOAO ROMA
49,PT,Bahia,JORGE SOLLA
50,PSD,Bahia,JOSE NUNES
51,PR,Bahia,JOSE ROCHA
52,PT,Bahia,JOSIAS GOMES
53,DEM,Bahia,LEUR LOMANTO JR
54,PSB,Bahia,LIDICE DA MATA
55,PSB,Bahia,MARCELO NILO
56,PRB,Bahia,MARCIO MARINHO
57,PP,Bahia,MARIO NEGROMONTE JR
58,PSD,Bahia,OTTO ALENCAR FILHO
59,PHS,Bahia,PASTOR ABILIO SANTANA
60,AVANTE,Bahia,PASTOR SARGENTO ISIDORIO
61,DEM,Bahia,PAULO AZI
62,PT,Bahia,PELEGRINO
63,PSL,Bahia,PROF. DAYANE PIMENTEL
64,PRP,Bahia,RAIMUNDO COSTA
65,PP,Bahia,RONALDO CARLETTO
66,PSD,Bahia,SERGIO BRITO
67,AVANTE,Bahia,TITO
68,PPL,Bahia,ULDURICO JUNIOR
69,PT,Bahia,VALMIR ASSUNCAO
70,PT,Bahia,WALDENOR PEREIRA
71,PT,Bahia,ZE NETO
72,PP,Ceará,AJ ALBUQUERQUE
73,PDT,Ceará,ANDRE FIGUEIREDO
74,PROS,Ceará,CAPITAO WAGNER
75,PV,Ceará,CELIO STUDART
76,PSB,Ceará,DENIS BEZERRA
77,PSD,Ceará,DOMINGOS NETO
78,PR,Ceará,DR. JAZIEL
79,PDT,Ceará,EDUARDO BISMARCK
80,SD,Ceará,GENECIAS NORONHA
81,PT,Ceará,GUIMARAES
82,PSL,Ceará,HEITOR FREIRE
83,PDT,Ceará,IDILVAN
84,PT,Ceará,JOSE AIRTON
85,PATRI,Ceará,JUNIOR MANO
86,PDT,Ceará,LEONIDAS CRISTINO
87,PT,Ceará,LUIZIANNE
88,PDT,Ceará,MAURO FILHO
89,MDB,Ceará,MOSES RODRIGUES
90,PTB,Ceará,PEDRO BEZERRA
91,PDT,Ceará,ROBERIO MONTEIRO
92,PSDB,Ceará,ROBERTO PESSOA
93,PROS,Ceará,VAIDON OLIVEIRA
94,PRP,Distrito federal,BIA KICIS
95,PP,Distrito federal,CELINA LEAO
96,PT,Distrito federal,ERIKA KOKAY
97,PR,Distrito federal,FLAVIA ARRUDA
98,PRB,Distrito federal,JULIO CESAR
99,DEM,Distrito federal,LUIS MIRANDA
100,PPS,Distrito federal,PAULA BELMONTE
101,PV,Distrito federal,PROFESSOR ISRAEL
102,PRB,Espírito santo,AMARO NETO
103,PPS,Espírito santo,DA VITORIA
104,PSL,Espírito santo,DRA. SORAYA MANATO
105,PP,Espírito santo,EVAIR DE MELO
106,PSB,Espírito santo,FELIPE RIGONI
107,PSB,Espírito santo,FOLETTO
108,PT,Espírito santo,HELDER SALOMAO
109,PR,Espírito santo,LAURIETE
110,DEM,Espírito santo,NORMA AYUB
111,PDT,Espírito santo,SERGIO VIDIGAL
112,PP,Goiás,ADRIANO DO BALDY
113,PRP,Goiás,ALCIDES RODRIGUES
114,PSDB,Goiás,CELIO SILVEIRA
115,PSL,Goiás,DELEGADO WALDIR
116,DEM,Goiás,DR. ZACARIAS CALIL
117,PSB,Goiás,ELIAS VAZ
118,PDT,Goiás,FLAVIA MORAIS
119,PSD,Goiás,FRANCISCO JR
120,PSC,Goiás,GLAUSTIN DA FOKUS
121,PRB,Goiás,JOAO CAMPOS
122,PODE,Goiás,JOSE NELTO
123,SD,Goiás,LUCAS VERGILIO
124,PR,Goiás,MAGDA MOFATTO
125,PSL,Goiás,MAJOR VITOR HUGO
126,PP,Goiás,PROFESSOR ALCIDES
127,PT,Goiás,RUBENS OTONI
128,DEM,Goiás,ZE MARIO
129,PODE,Maranhão,ALUISIO MENDES
130,PP,Maranhão,ANDRE FUFUCA
131,PSB,Maranhão,BIRA DO PINDARE
132,PRB,Maranhão,CLEBER VERDE
133,PSD,Maranhão,EDILAZIO
134,PMN,Maranhão,EDUARDO BRAIDE
135,PDT,Maranhão,GIL CUTRIM
136,MDB,Maranhão,HILDO ROCHA
137,MDB,Maranhão,JOAO MARCELO
138,PR,Maranhão,JOSIMAR MARANHAOZINHO
139,PR,Maranhão,JUNIOR LOURENCO
140,PATRI,Maranhão,JUNIOR MARRECA FILHO
141,DEM,Maranhão,JUSCELINO FILHO
142,PC do B,Maranhão,MARCIO JERRY
143,PMN,Maranhão,PASTOR GILDENEMYR
144,PTB,Maranhão,PEDRO LUCAS FERNANDES
145,PC do B,Maranhão,RUBENS JUNIOR
146,PT,Maranhão,ZE CARLOS
147,MDB,Mato Grosso,CARLOS BEZERRA
148,SD,Mato Grosso,DR LEONARDO
149,PTB,Mato Grosso,EMANUELZINHO
150,PODE,Mato Grosso,JOSE MEDEIROS
151,MDB,Mato Grosso,JUAREZ COSTA
152,PSL,Mato Grosso,NELSON BARBUDO
153,PP,Mato Grosso,NERI GELLER
154,PT,Mato Grosso,PROFESSORA ROSA NEIDE
155,PSDB,Mato Grosso do Sul,BETO PEREIRA
156,PDT,Mato Grosso do Sul,DAGOBERTO
157,PSL,Mato Grosso do Sul,DR. LUIZ OVANDO
158,PSD,Mato Grosso do Sul,FABIO TRAD
159,PSDB,Mato Grosso do Sul,ROSE MODESTO
160,DEM,Mato Grosso do Sul,TEREZA CRISTINA
161,PSL,Mato Grosso do Sul,TIO TRUTIS
162,PT,Mato Grosso do Sul,VANDER LOUBET
163,PSDB,Minas Gerais,AECIO NEVES
164,PSL,Minas Gerais,ALE SILVA
165,AVANTE,Minas Gerais,ANDRE JANONES
166,PSOL,Minas Gerais,AUREA CAROLINA
167,DEM,Minas Gerais,BILAC PINTO
168,PSL,Minas Gerais,CABO JUNIO AMARAL
169,PSL,Minas Gerais,CHARLLES EVANGELISTA
170,PSL,Minas Gerais,DELEGADO MARCELO FREITAS
171,PSD,Minas Gerais,DIEGO ANDRADE
172,PP,Minas Gerais,DIMAS FABIANO
173,PSDB,Minas Gerais,DOMINGOS SAVIO
174,PATRI,Minas Gerais,DOUTOR FREDERICO
175,PDT,Minas Gerais,DR. MARIO HERINGER
176,PSDB,Minas Gerais,EDUARDO BARBOSA
177,PSB,Minas Gerais,EMIDINHO MADEIRA
178,PROS,Minas Gerais,EROS BIONDINI
179,PSC,Minas Gerais,EUCLYDES PETTERSEN
180,MDB,Minas Gerais,FABIO RAMALHO
181,PHS,Minas Gerais,FRANCO CARTAFINA
182,PATRI,Minas Gerais,FRED COSTA
183,PRB,Minas Gerais,GILBERTO ABRAMO
184,AVANTE,Minas Gerais,GREYCE ELIAS
185,MDB,Minas Gerais,HERCILIO COELHO DINIZ
186,PODE,Minas Gerais,IGOR TIMO
187,PSB,Minas Gerais,JULIO DELGADO
188,PRB,Minas Gerais,LAFAYETTE ANDRADA
189,PSL,Minas Gerais,LEO MOTTA
190,PT,Minas Gerais,LEONARDO MONTEIRO
191,PR,Minas Gerais,LINCOLN PORTELA
192,NOVO,Minas Gerais,LUCAS GONZALEZ
193,AVANTE,Minas Gerais,LUIS TIBE
194,PSL,Minas Gerais,MARCELO ALVARO ANTONIO
195,PHS,Minas Gerais,MARCELO ARO
196,PT,Minas Gerais,MARGARIDA SALOMAO
197,MDB,Minas Gerais,MAURO LOPES
198,PSD,Minas Gerais,MISAEL VARELLA
199,MDB,Minas Gerais,NEWTON CARDOSO JR
200,PT,Minas Gerais,ODAIR CUNHA
201,PT,Minas Gerais,PADRE JOAO
202,PT,Minas Gerais,PATRUS ANANIAS
203,PSDB,Minas Gerais,PAULO ABI ACKEL
204,PT,Minas Gerais,PAULO GUEDES
205,PP,Minas Gerais,PINHEIRINHO
206,PT,Minas Gerais,REGINALDO LOPES
207,PSDB,Minas Gerais,RODRIGO DE CASTRO
208,PT,Minas Gerais,ROGERIO CORREIA
209,PSD,Minas Gerais,STEFANO AGUIAR
210,PDT,Minas Gerais,SUBTENENTE GONZAGA
211,NOVO,Minas Gerais,TIAGO MITRAUD
212,PSB,Minas Gerais,VILSON DA FETAEMG
213,PROS,Minas Gerais,WELITON PRADO
214,SD,Minas Gerais,ZE SILVA
215,PMN,Minas Gerais,ZE VITOR
216,PT,Pará,AIRTON FALEIRO
217,PT,Pará,BETO FARO
218,PSB,Pará,CASSIO ANDRADE
219,PSDB,Pará,CELSO SABINO
220,PR,Pará,CRISTIANO VALE
221,PSD,Pará,DELEGADO EDER MAURO
222,PSOL,Pará,EDMILSON RODRIGUES
223,PTB,Pará,EDUARDO COSTA
224,MDB,Pará,ELCIONE
225,DEM,Pará,HELIO LEITE
226,PSD,Pará,JOAQUIM PASSARINHO
227,PSD,Pará,JUNIOR FERRARI
228,PSDB,Pará,NILSON PINTO
229,DEM,Pará,OLIVAL MARQUES
230,PTB,Pará,PAULO BENGTSON
231,MDB,Pará,PRIANTE
232,PRB,Pará,VAVA MARTINS
233,PP,Paraíba,AGUINALDO RIBEIRO
234,PDT,Paraíba,DR DAMIAO
235,PSDB,Paraíba,EDNA HENRIQUE
236,DEM,Paraíba,EFRAIM FILHO
237,PT,Paraíba,FREI ANASTACIO
238,PSB,Paraíba,GERVASIO MAIA
239,PRB,Paraíba,HUGO
240,PSL,Paraíba,JULIAN LEMOS
241,PSDB,Paraíba,PEDRO CUNHA LIMA
242,PSDB,Paraíba,RUY CARNEIRO
243,PR,Paraíba,WELLINGTON ROBERTO
244,PTB,Paraíba,WILSON SANTIAGO
245,PSB,Paraná,ALIEL MACHADO
246,PSL,Paraná,ALINE SLEUTJES
247,PRB,Paraná,AROLDO MARTINS
248,PROS,Paraná,BOCA ABERTA
249,PR,Paraná,CHRISTIANE YARED
250,PODE,Paraná,DIEGO GARCIA
251,PT,Paraná,ENIO VERRI
252,PSL,Paraná,FELIPE FRANCISCHINI
253,PSL,Paraná,FILIPE BARROS
254,PR,Paraná,GIACOBO
255,PT,Paraná,GLEISI LULA
256,PDT,Paraná,GUSTAVO FRUET
257,MDB,Paraná,HERMES FRANGAO PARCIANELLO
258,PV,Paraná,LEANDRE
259,PSB,Paraná,LUCIANO DUCCI
260,PTB,Paraná,LUISA CANZIANI
261,PR,Paraná,LUIZ NISHIMORI
262,PRB,Paraná,LUIZAO GOULART
263,PSD,Paraná,NEY LEPREVOST
264,PSC,Paraná,PAULO MARTINS
265,DEM,Paraná,PEDRO LUPION
266,PP,Paraná,RICARDO BARROS
267,PPS,Paraná,RUBENS BUENO
268,PSD,Paraná,SANDRO ALEX
269,PSD,Paraná,SARGENTO FAHUR
270,PP,Paraná,SCHIAVINATO
271,MDB,Paraná,SERGIO SOUZA
272,PROS,Paraná,TONINHO WANDSCHEER
273,PSD,Paraná,VERMELHO
274,PT,Paraná,ZECA DIRCEU
275,PSD,Pernambuco,ANDRE DE PAULA
276,PSC,Pernambuco,ANDRE FERREIRA
277,SD,Pernambuco,AUGUSTO COUTINHO
278,PRB,Pernambuco,BISPO OSSESIO
279,PT,Pernambuco,CARLOS VERAS
280,PPS,Pernambuco,DANIEL COELHO
281,PSB,Pernambuco,DANILO CABRAL
282,PP,Pernambuco,EDUARDO DA FONTE
283,PSB,Pernambuco,FELIPE CARRERAS
284,DEM,Pernambuco,FERNANDO FILHO
285,PP,Pernambuco,FERNANDO MONTEIRO
286,PHS,Pernambuco,FERNANDO RODOLFO
287,PSB,Pernambuco,GONZAGA PATRIOTA
288,PSB,Pernambuco,JOAO CAMPOS
289,PSL,Pernambuco,LUCIANO BIVAR
290,PT,Pernambuco,MARILIA ARRAES
291,PATRI,Pernambuco,PASTOR EURICO
292,MDB,Pernambuco,RAUL HENRY
293,PC do B,Pernambuco,RENILDO CALHEIROS
294,PODE,Pernambuco,RICARDO TEOBALDO
295,PR,Pernambuco,SEBASTIAO OLIVEIRA
296,PRB,Pernambuco,SILVIO COSTA FILHO
297,PSB,Pernambuco,TADEU ALENCAR
298,PDT,Pernambuco,TULIO GADELHA
299,PDT,Pernambuco,WOLNEY QUEIROZ
300,PT,Piauí,ASSIS CARVALHO
301,PSB,Piauí,ATILA LIRA
302,PR,Piauí,CAPITAO FABIO ABREU
303,PTC,Piauí,DRA. MARINA
304,PDT,Piauí,FLAVIO NOGUEIRA
305,PP,Piauí,IRACEMA PORTELLA
306,PSD,Piauí,JULIO CESAR
307,MDB,Piauí,MARCOS AURELIO SAMPAIO
308,PP,Piauí,MARGARETE COELHO
309,PT,Piauí,REJANE DIAS
310,PSB,Rio de Janeiro,ALESSANDRO MOLON
311,PSD,Rio de Janeiro,ALEXANDRE SERFIOTIS
312,PR,Rio de Janeiro,ALTINEU CORTES
313,SD,Rio de Janeiro,AUREO
314,PT,Rio de Janeiro,BENEDITA DA SILVA
315,PSL,Rio de Janeiro,CARLOS JORDY
316,PDT,Rio de Janeiro,CHICO D ANGELO
317,AVANTE,Rio de Janeiro,CHIQUINHO BRAZAO
318,PSL,Rio de Janeiro,CHRIS TONIETTO
319,PP,Rio de Janeiro,CHRISTINO AUREO
320,PROS,Rio de Janeiro,CLARISSE GAROTINHO
321,PSL,Rio de Janeiro,DANIEL SILVEIRA
322,MDB,Rio de Janeiro,DANIELA DO WAGUINHO
323,PSL,Rio de Janeiro,DELEGADO ANTONIO FURTADO
324,PP,Rio de Janeiro,DR. LUIZINHO
325,PSL,Rio de Janeiro,FELICIO LATERCA
326,PSD,Rio de Janeiro,FLORDELIS
327,PHS,Rio de Janeiro,GELSON AZEVEDO
328,PSOL,Rio de Janeiro,GLAUBER BRAGA
329,MDB,Rio de Janeiro,GUTEMBERG REIS
330,PSL,Rio de Janeiro,HELIO FERNANDO BARBOSA LOPES
331,PSD,Rio de Janeiro,HUGO LEAL
332,PC do B,Rio de Janeiro,JANDIRA FEGHALI
333,PSOL,Rio de Janeiro,DAVID MIRANDA
334,DEM,Rio de Janeiro,JUNINHO DO PNEU
335,PSL,Rio de Janeiro,LOURIVAL GOMES
336,DC,Rio de Janeiro,LUIZ ANTONIO
337,PSL,Rio de Janeiro,LUIZ LIMA
338,PSL,Rio de Janeiro,MAJOR FABIANA
339,PPS,Rio de Janeiro,MARCELO CALERO
340,PSOL,Rio de Janeiro,MARCELO FREIXO
341,PSL,Rio de Janeiro,MARCIO LABRE
342,PSC,Rio de Janeiro,OTONI DE PAULA
343,NOVO,Rio de Janeiro,PAULO GANIME
344,PDT,Rio de Janeiro,PAULO RAMOS
345,DEM,Rio de Janeiro,PEDRO PAULO
346,PSL,Rio de Janeiro,PROFESSOR JOZIEL
347,DEM,Rio de Janeiro,RODRIGO MAIA
348,PRB,Rio de Janeiro,ROSANGELA GOMES
349,PSL,Rio de Janeiro,SARGENTO GURGEL
350,PR,Rio de Janeiro,SORAYA SANTOS
351,DEM,Rio de Janeiro,SOSTENES
352,PSOL,Rio de Janeiro,TALIRIA PETRONE
353,MDB,Rio de Janeiro,VINICIUS FARAH
354,PRB,Rio de Janeiro,JORGE BRAZ
355,PRP,Rio de Janeiro,WLADIMIR GAROTINHO
356,PTC,Rio Grande do Norte,BENES LEOCADIO
357,PSD,Rio Grande do Norte,FABIO FARIA
358,PSL,Rio Grande do Norte,GENERAL GIRAO
359,PR,Rio Grande do Norte,JOAO MAIA
360,PP,Rio Grande do Norte,BETO ROSADO
361,PT,Rio Grande do Norte,NATALIA BONAVIDES
362,PSB,Rio Grande do Norte,RAFAEL MOTTA
363,MDB,Rio Grande do Norte,WALTER ALVES
364,PP,Rio Grande do Sul,AFONSO HAMM
365,PDT,Rio Grande do Sul,AFONSO MOTTA
366,MDB,Rio Grande do Sul,ALCEU MOREIRA
367,PSL,Rio Grande do Sul,BIBO NUNES
368,PT,Rio Grande do Sul,BOHN GASS
369,PRB,Rio Grande do Sul,CARLOS GOMES
370,PP,Rio Grande do Sul,COVATTI FILHO
371,PSDB,Rio Grande do Sul,DANIEL TRZECIAK
372,PSD,Rio Grande do Sul,DANRLEI DE DEUS GOLEIRO
373,PSOL,Rio Grande do Sul,FERNANDA MELCHIONNA
374,PR,Rio Grande do Sul,GIOVANI CHERINI
375,MDB,Rio Grande do Sul,GIOVANI FELTES
376,PSB,Rio Grande do Sul,HEITOR SCHUCH
377,PT,Rio Grande do Sul,HENRIQUE FONTANA
378,PP,Rio Grande do Sul,JERONIMO GOERGEN
379,PSB,Rio Grande do Sul,LIZIANE BAYER
380,PSDB,Rio Grande do Sul,LUCAS REDECKER
381,NOVO,Rio Grande do Sul,MARCEL VAN HATTEM
382,PTB,Rio Grande do Sul,MARCELO MORAES
383,MDB,Rio Grande do Sul,MARCIO BIOLCHI
384,PT,Rio Grande do Sul,MARCON
385,PT,Rio Grande do Sul,MARIA DO ROSARIO
386,PDT,Rio Grande do Sul,MARLON SANTOS
387,PTB,Rio Grande do Sul,MAURICIO DZIEDRICKI
388,PSL,Rio Grande do Sul,NEREU CRISPIN
389,DEM,Rio Grande do Sul,ONYX LORENZONI
390,MDB,Rio Grande do Sul,OSMAR TERRA
391,PT,Rio Grande do Sul,PAULO PIMENTA
392,PP,Rio Grande do Sul,PEDRO WESTPHALEN
393,PDT,Rio Grande do Sul,POMPEO DE MATTOS
394,MDB,Rio Grande do Sul,DARCISIO PERONDI
395,PSL,Rio Grande do Sul,SANDERSON FEDERAL
396,PSL,Rondônia,CORONEL CHRISOSTOMO
397,PSB,Rondônia,DR. MAURO NAZIF
398,PSD,Rondônia,EXPEDITO NETTO
399,PP,Rondônia,JAQUELINE CASSOL
400,PODE,Rondônia,LEO MORAES
401,MDB,Rondônia,LUCIO MOSQUINI
402,PSDB,Rondônia,MARIANA CARVALHO
403,PDT,Rondônia,SILVIA CRISTINA
404,PP,Roraima,DR. HIRAN GONCALVES
405,PR,Roraima,EDIO LOPES
406,PSD,Roraima,HAROLDO CATHEDRAL
407,PRB,Roraima,JHONATAN DE JESUS
408,REDE,Roraima,JOENIA WAPICHANA
409,PSL,Roraima,NICOLETTI
410,SD,Roraima,OTACI
411,PSDB,Roraima,SHERIDAN
412,PP,Santa Catarina,ANGELA AMIN
413,MDB,Santa Catarina,CARLOS CHIODINI
414,PPS,Santa Catarina,CARMEN ZANOTTO
415,PSL,Santa Catarina,CAROLINE DE TONI
416,MDB,Santa Catarina,CELSO MALDANER
417,PSL,Santa Catarina,CORONEL ARMANDO
418,PSL,Santa Catarina,DANIEL FREITAS
419,PSD,Santa Catarina,DARCI DE MATOS
420,PSL,Santa Catarina,FABIO SCHIOCHET
421,PSDB,Santa Catarina,GEOVANIA DE SA
422,NOVO,Santa Catarina,GILSON MARQUES
423,PRB,Santa Catarina,HELIO COSTA
424,MDB,Santa Catarina,PENINHA
425,PT,Santa Catarina,PROFESSOR PEDRO UCZAI
426,PSD,Santa Catarina,RICARDO GUIDI
427,PSB,Santa Catarina,RODRIGO COELHO
428,PSL,São Paulo,ABOU ANNI
429,NOVO,São Paulo,ADRIANA VENTURA
430,PT,São Paulo,ALENCAR SANTANA
431,PPS,São Paulo,ALEX MANENTE
432,PSL,São Paulo,ALEXANDRE FROTA
433,DEM,São Paulo,ALEXANDRE LEITE
434,PT,São Paulo,ALEXANDRE PADILHA
435,NOVO,São Paulo,ALEXIS FONTEYNE
436,PT,São Paulo,ARLINDO CHINAGLIA
437,PPS,São Paulo,ARNALDO JARDIM
438,MDB,São Paulo,BALEIA ROSSI
439,PSDB,São Paulo,BRUNA FURLAN
440,PR,São Paulo,CAPITAO AUGUSTO
441,PSL,São Paulo,CARLA ZAMBELLI
442,PSDB,São Paulo,CARLOS SAMPAIO
443,PT,São Paulo,CARLOS ZARATTINI
444,PRB,São Paulo,CELSO RUSSOMANO
445,PSD,São Paulo,CEZINHA DE MADUREIRA
446,PSL,São Paulo,CORONEL TADEU
447,DEM,São Paulo,DAVID SOARES
448,PSL,São Paulo,EDUARDO BOLSONARO
449,PSDB,São Paulo,EDUARDO CURY
450,DEM,São Paulo,ELI CORREA FILHO
451,PV,São Paulo,ENRICO MISASI
452,PP,São Paulo,FAUSTO PINATO
453,PSL,São Paulo,GENERAL PETERNELLI
454,DEM,São Paulo,GENINHO ZULIANI
455,PSC,São Paulo,GILBERTO NASCIMENTO
456,PSL,São Paulo,GUIGA PEIXOTO
457,PP,São Paulo,GUILHERME MUSSI
458,MDB,São Paulo,HERCULANO PASSOS
459,PSOL,São Paulo,IVAN VALENTE
460,PSB,São Paulo,JEFFERSON CAMPOS
461,PSL,São Paulo,JOICE HASSELMANN
462,PSL,São Paulo,JUNIOR BOZZELLA
463,DEM,São Paulo,KIM KATAGUIRI
464,PR,São Paulo,LUIZ CARLOS MOTTA
465,PSL,São Paulo,LUIZ PHILIPPE O. BRAGANCA
466,PSOL,São Paulo,LUIZA ERUNDINA
467,PR,São Paulo,MARCIO ALVINO
468,PSD,São Paulo,MARCO BERTAIOLLI
469,PRB,São Paulo,MARCOS PEREIRA
470,PRB,São Paulo,MARIA ROSAS
471,PR,São Paulo,MIGUEL LOMBARDI
472,PRB,São Paulo,MILTON VIEIRA
473,PT,São Paulo,NILTO TATTO
474,PC do B,São Paulo,ORLANDO SILVA
475,PODE,São Paulo,PASTOR MARCO FELICIANO
476,SD,São Paulo,PAULINHO DA FORCA
477,PR,São Paulo,PAULO FREIRE COSTA
478,PT,São Paulo,PAULO TEIXEIRA
479,PR,São Paulo,POLICIAL KATIA SASTRE
480,PSB,São Paulo,PROFESSOR LUIZ FLAVIO GOMES
481,PODE,São Paulo,RENATA ABREU
482,PP,São Paulo,RICARDO IZAR
483,PRB,São Paulo,ROBERTO ALVES
484,PODE,São Paulo,ROBERTO DE LUCENA
485,PSB,São Paulo,RODRIGO AGOSTINHO
486,PSB,São Paulo,ROSANA VALLE
487,PT,São Paulo,RUI FALCAO
488,PSOL,São Paulo,SAMIA BOMFIM
489,PSDB,São Paulo,SAMUEL MOREIRA
490,PDT,São Paulo,TABATA AMARAL
491,PP,São Paulo,TENENTE DERRITE
492,PR,São Paulo,TIRIRICA
493,PSDB,São Paulo,VANDERLEI MACRIS
494,PT,São Paulo,VICENTINHO
495,PRB,São Paulo,VINICIUS CARVALHO
496,NOVO,São Paulo,VINICIUS POIT
497,PSDB,São Paulo,VITOR LIPPI
498,PR,Sergipe,BOSCO COSTA
499,PDT,Sergipe,FABIO HENRIQUE
500,PSD,Sergipe,FABIO MITIDIERI
501,MDB,Sergipe,FABIO REIS
502,SD,Sergipe,GUSTINHO RIBEIRO
503,PT,Sergipe,JOAO DANIEL
504,PP,Sergipe,LAERCIO OLIVEIRA
505,PSC,Sergipe,VALDEVAN NOVENTA
506,DEM,Tocantins,CARLOS HENRIQUE GAGUIM
507,PT,Tocantins,CELIO MOURA
508,MDB,Tocantins,DULCE MIRANDA
509,SD,Tocantins,ELI BORGES
510,PSC,Tocantins,OSIRES DAMASO
511,DEM,Tocantins,PROFESSORA DORINHA
512,SD,Tocantins,TIAGO DIMAS
513,PR,Tocantins,VICENTINHO JUNIOR
